ieeg_subject	snsx_subject
P002	P022
P003	P026
P016	P029
P004	P032
P001	P046
P007	P048
P009	P049
P013	P051
P018	P052
P022	P054
P021	P055
P023	P056
P065	P058
P067	P059
P068	P060
P069	P061
P078	P070
P079	P071
P081	P080
P082	P081
P083	P087
P086	P089
P087	P090
P088	P092
P091	P095
P093	P097
P095	P100
P100	P105
P020	P107
P103	P109
P108	P115
P107	P117
P117	P123
